chr1	663145	859753	AL669831.2	+
chr1	696101	892709	LINC01409	+
chr1	720299	916907	FAM87B	+
chr1	748365	944973	LINC01128	+
chr1	812100	1008708	AL645608.6	+
chr1	814887	1011495	AL645608.2	+
chr1	835950	1032558	SAMD11	+
chr1	864847	1061455	KLHL17	+
chr1	872869	1069477	PLEKHN1	+
chr1	909534	1106142	ISG15	+
chr1	939814	1136422	AGRN	+
chr1	1002787	1199395	AL390719.3	+
chr1	1042232	1238840	LINC01342	+
chr1	1087605	1284213	TTLL10	+
chr1	1135334	1331942	B3GALT6	+
chr1	1179517	1376125	LINC01786	+
chr1	1187928	1384536	SCNN1D	+
chr1	1211832	1408440	PUSL1	+
chr1	1228521	1425129	CPTP	+
chr1	1234992	1431600	TAS1R3	+
chr1	1302478	1499086	MRPL20-AS1	+
chr1	1311552	1508160	AL391244.2	+
chr1	1340567	1537175	VWA1	+
chr1	1361621	1558229	ATAD3C	+
chr1	1386502	1583110	ATAD3B	+
chr1	1425119	1621727	ATAD3A	+
chr1	1477284	1673892	AL645728.1	+
chr1	1503204	1699812	AL691432.4	+
chr1	1524708	1721316	MIB2	+
chr1	1535408	1732016	MMP23B	+
chr1	1562659	1759267	FO704657.1	+
chr1	1793760	1990368	AL109917.1	+
chr1	1817897	2014505	CALML6	+
chr1	1926739	2123347	GABRD	+
chr1	2019598	2216206	PRKCZ	+
chr1	2118326	2314934	AL590822.1	+
chr1	2170961	2367569	SKI	+
chr1	2220758	2417366	AL590822.3	+
chr1	2300304	2496912	RER1	+
chr1	2367451	2564059	PLCH2	+
chr1	2440457	2637065	AL139246.5	+
chr1	2462206	2658814	TNFRSF14	+
chr1	2484742	2681350	AL139246.3	+
chr1	2490675	2687283	PRXL2B	+
chr1	3155590	3352198	PRDM16	+
chr1	3529266	3725874	TPRG1L	+
chr1	3596054	3792662	TP73	+
chr1	3660748	3857356	CCDC27	+
chr1	3676067	3872675	SMIM1	+
chr1	3686968	3883576	AL365330.1	+
